252,107,231,256
220,105,240,248
222,100,236,252
229,122,230,264
232,105,226,253
236,105,246,260
239,106,253,260
222,105,249,256
214,106,253,257
211,101,265,254
215,100,265,259
230,102,268,257
234,100,268,261
236,101,262,265
247,92,262,269
239,94,251,262
231,99,259,260
225,96,257,263
236,98,254,258
255,98,253,262
264,94,250,265
260,94,236,264
253,94,230,264
246,95,231,263
253,94,232,267
272,97,230,261
273,98,225,262
281,98,209,262
274,95,208,255
267,102,215,260
257,102,223,260
276,97,223,258
270,102,207,258
280,105,209,256
274,92,208,261
279,108,209,260
269,101,217,261
263,94,219,261
269,99,222,266
277,100,220,260
279,106,207,254
274,98,209,261
274,100,207,256
294,106,211,254
302,114,214,251
299,119,217,248
314,119,219,247
296,109,219,253
287,110,223,253
288,102,220,256
290,119,208,267
299,108,211,253
289,109,198,250
275,106,223,260
273,105,224,254
275,121,221,254
245,108,219,251
281,114,210,248
278,118,207,248
284,133,205,248
295,144,204,241
306,126,211,232
298,150,191,254
288,137,201,249
299,142,193,237
297,151,192,221
302,165,185,233
302,174,181,220
305,177,183,211
320,183,168,210
327,176,159,201
327,183,158,200
324,194,156,193
320,200,163,183
307,207,179,155
311,206,170,154
320,205,166,155
328,197,162,158
325,199,157,159
321,210,165,157
316,214,166,147
314,215,165,150
323,198,161,157
314,192,175,165
329,200,171,166
320,201,172,151
312,211,170,146
311,213,168,144
309,215,169,150
309,214,161,164
314,217,170,162
317,218,170,157
310,217,173,154
311,221,179,137
308,234,179,130
310,241,181,127
304,237,174,129
295,228,171,132
293,227,172,130
295,225,171,139
309,218,172,146
322,220,171,141
316,228,184,134
302,226,177,126
300,234,182,127
301,234,180,130
307,232,177,141
308,217,164,143
310,216,169,147
312,222,174,140
314,231,180,133
302,232,177,126
306,233,174,129
297,226,180,134
305,228,181,135
308,230,173,134
307,234,173,140
301,229,164,136
290,233,178,144
294,243,186,151
286,254,190,136
287,268,192,134
293,273,191,139
270,252,187,112
264,240,194,109
266,254,185,107
262,249,192,111
251,258,199,107
240,258,203,108
235,260,204,105
234,256,213,105
232,260,213,102
257,255,240,105
257,260,225,101
257,265,221,92
266,257,241,105
261,259,257,102
246,262,246,98
247,251,218,108
256,263,229,91
249,262,234,92
249,261,225,103
260,266,218,99
265,254,209,108
288,253,216,105
283,258,239,105
288,255,239,103
272,262,235,99
261,262,218,99
268,261,218,104
278,253,204,112
279,243,205,116
286,246,192,116
287,246,197,115
286,243,208,112
286,253,207,105
276,255,204,101
266,258,203,108
268,255,219,107
269,247,219,108
279,246,204,109
285,244,200,112
295,250,190,119
292,253,194,111
283,231,195,122
292,249,195,113
296,241,191,115
291,242,186,119
294,236,185,122
295,233,185,127
305,233,188,129
304,233,185,126
302,235,185,129
302,233,185,129
293,239,183,120
288,247,197,114
278,255,212,111
283,253,208,110
271,244,218,108
276,247,218,108
278,247,215,112
250,259,207,116
243,266,207,122
211,246,204,115
210,243,206,118
214,246,209,116
227,250,199,109
238,245,227,102
225,251,225,109
221,244,225,109
226,238,225,105
218,252,239,102
215,256,248,106
213,257,231,104
217,253,231,101
228,234,231,106
215,254,197,109
245,258,211,126
263,257,225,109
270,251,233,106
274,241,235,113
267,249,218,105
277,249,211,109
286,243,207,112
293,237,197,116
288,242,197,116
293,238,197,116
293,237,197,115
294,233,197,115
290,239,197,116
291,238,197,119
283,235,197,119
284,245,201,117
283,244,212,113
294,250,212,113
295,243,197,112
291,247,190,113
292,252,190,109
290,250,190,110
291,253,194,108
290,246,201,110
272,255,226,107
268,244,209,103
271,245,208,101
262,260,218,106
252,255,229,107
255,255,224,108
248,263,218,112
259,255,204,105
265,248,205,106
275,243,206,109
270,252,206,109
269,253,206,110
269,252,206,110
272,252,210,109
266,248,213,111
260,258,214,108
259,263,217,101
255,252,217,101
260,257,220,104
247,263,221,98
248,260,228,107
238,253,232,105
228,262,240,105
231,258,240,105
234,260,232,105
231,265,235,99
231,266,244,96
239,259,227,103
248,259,220,104
266,252,210,101
272,255,211,103
270,251,218,115
274,244,204,114
278,250,204,108
271,249,210,109
267,244,210,106
263,251,223,113
253,256,231,111
247,255,224,106
245,256,240,107
246,256,236,108
240,257,229,109
221,247,243,110
216,257,240,115
211,257,218,101
227,241,238,118
226,249,248,113
217,246,262,112
228,251,245,108
210,258,211,104
220,263,232,117
222,256,244,113
219,259,221,106
224,260,221,105
196,243,222,110
197,224,241,122
201,241,246,112
216,243,255,108
246,251,251,109
229,257,255,102
213,253,282,108
210,246,281,114
209,259,277,105
212,247,277,105
